English|Bangali|Arabic|Chinese|French|German|Hindi|Italian|Japanese|Spanish
fledgling|জাতপক্ষ|الوليد|雏鸟|naissant|flügge|अनुभवहीन मनुष्य|uccellino|徴兵|volantón
fleece|ভেড়ার লোম|الصوف|羊毛|toison|Vlies|मूंड़ना|vello|フリース|lana
flounder|রাঘববোয়াল|تخبط|比目鱼|patauger|Flunder|फ़्लॉन्डर|platessa|ヒラメ|platija
flush|ঘনিষ্ঠরূপে|فورة|红晕|affleurer|spülen|लालिमा|rossore|流す|rubor
foible|দুর্বলতা|نقطة ضعف|怪癖|souple|Schwäche|चरित्र की दुर्बलता|lato debole|虚弱|debilidad
foolhardy|হঠকারী|متهور|蛮干|téméraire|tollkühn|उजड्ड|avventato|愚か者|temerario
forthright|স্পষ্টাস্পষ্টি|صريح|直率的|franc|offen|निष्कपट|franco|真面目な|directo
futile|বৃথা|عقيم|无用|futile|zwecklos|व्यर्थ|futile|無益な|fútil
genial|সদয়|لطيف|和蔼的|génial|genial|उर्वर|cordiale|優しい|genial
genteel|সুশীল|أنيق|温雅|distingué|vornehm|ललित|gentile|優しい|gentil
glean|উঁচ্ছবৃত্তি|جمع|搜集|glaner|lesen|बीनना|spigolare|集める|espigar
glib|সাবলীল|عفوي|巧舌如簧|facile|glib|फिसलनदार|facondo|グライブ|fácil
goad|অঙ্কুশ|منخس|刺棒|aiguillon|Ansporn|अंकुश|pungolo|乞食|aguijón
grovel|পদলেহন|تذلل|拜倒|ramper|kriechen|उताने पड़ जाना|strisciare|グルベル|arrastrarse
guffaw|অট্টহাস্য|قهقهة|哄笑|esclaffer|lacht|खिलखिलाकर हंसना|risata fragorosa|guffaw|carcajadas
hamper|ব্যাহত করা|يعيق|阻碍|entraver|Korb|बाधा|ostacolare|邪魔する|cesto
hamstrung|বধ|تعثرها|陷于瘫痪|paralysé|hamstrung|पंगु|ostacolati|ハムストール|hamstrung
heyday|পূর্ণবিকাশ|ذروة|极盛|grand jour|Blütezeit|उमंग का समय|apogeo|全盛期|apogeo
hodgepodge|খিচুড়ি|خليط|大杂烩|fatras|Mischmasch|गोलमाल|pot-pourri|ホッジポッジ|mezcolanza
hound|জ্বালাতন করা|كلب|猎犬|chien|Hund|शिकारी कुत्ता|cane da caccia|猟犬|sabueso
humdrum|অকাল্পনিক|رتابة|单调|monotone|Eintönigkeit|नीरस|monotonia|平凡|monótono
illicit|অবৈধ|غير مشروع|非法的|illicite|illegal|अवैध|illecito|不法|ilícito
immaterial|অশরীরী|غير هام|无形|immatériel|immateriell|सारहीन|immateriale|重要ではない|inmaterial
impeccable|অনবদ্য|معصوم من الخطأ|无可挑剔|impeccable|tadellos|त्रुटिहीन|impeccabile|完璧な|impecable
impede|ঠেকান|إعاقة|阻碍|entraver|behindern|बाधा डालना|impedire|妨げる|impedir
impending|আসন্ন|وشيك الحدوث|即将发生的|imminent|drohend|आसन्न|imminente|差し迫っている|inminente
impermeable|অপ্রবেশ্য|كتيم|不透水|imperméable|undurchlässig|अभेद्य|impermeabile|不浸透性|impermeable
implicate|সংশ্লেষ করা|ورط|连累|impliquer|implizieren|फंसाना|implicare|関係する|implicar
implicate|সংশ্লেষ করা|ورط|连累|impliquer|implizieren|फंसाना|implicare|関係する|implicar
imponderable|ভারহীন|متأرجح|无法估量|impondérable|unwägbar|हलका|imponderabile|無責任な|imponderable
impregnable|দুর্ভেদ্য|منيع|坚不可摧|imprenable|uneinnehmbar|अभेद्य|inespugnabile|難攻不落|inexpugnable
inadvertent|অসাবধানী|منتبه|非故意的|involontaire|unbeabsichtigt|बेपरवाह|involontario|不慮の|inadvertido
inarticulate|অস্ফুট|عاجز عن الافصاح|口齿不清|inarticulé|unartikuliert|धीरे से बोलना|inarticolato|無粒状|inarticulado
incense|ধূপ|عطور|香|encens|Weihrauch|धूप|incenso|香|incienso
incessant|নিরবচ্ছিন্ন|متواصل|不停|incessant|unaufhörlich|निरंतर|incessante|絶え間ない|incesante
inclement|ঝড়ো|عاصف|恶劣|inclément|unfreundlich|कठोर|inclemente|厄介な|inclemente
inclement|ঝড়ো|عاصف|恶劣|inclément|unfreundlich|कठोर|inclemente|厄介な|inclemente
incumbent|শায়িত্ব|مايجب في الوضع الراهن|现任|titulaire|Amtsinhaber|निर्भर|incombente|現職|titular
indict|অভিযুক্ত করা|توجيه الاتهام|起诉|accuser|anklagen|अभियोग लगाना|incriminare|起訴|procesar
indigenous|দেশীয়|السكان الأصليين|土著|indigène|einheimisch|स्वदेशी|indigeno|先住民|indígena
indignant|অত্যুগ্র|ساخط|愤怒|indigné|empört|क्रोधित|indignato|憤慨する|indignado
industrious|পরিশ্রমী|كادح|勤劳|industrieux|fleißig|मेहनती|industrioso|勤勉な|industrioso
inflammable|দাহ্য|سريع الاشتعال|易燃的|inflammable|entflammbar|ज्वलनशील|infiammabile|可燃性の|inflamable
ingenuity|অকপটতা|براعة|创造力|ingéniosité|Einfallsreichtum|सरलता|ingegnosità|独創性|ingenio
inkling|আভাস|معرفة محدودة|暗示|idée|Ahnung|आभास|accenno|暗示|indicio
insipid|বিরস|لا طعم له|平淡|insipide|fade|फीका|insipido|気味の悪い|insípido
insolvent|দেউলিয়া|المفلس|资不抵债|insolvable|zahlungsunfähig|दिवालिया|insolvente|支払不能|insolvente
intermittent|সবিরাম|على فترات متقطعة|断断续续的|intermittent|wechselnd|रुक-रुक कर|intermittente|間欠|intermitente
inundate|প্রবাহিত করা|غمر|漫|inonder|überschwemmen|पाट देना|inondare|氾濫する|inundar
irascible|একরোখা|غضوب|暴躁|irascible|jähzornig|चिड़चिड़ा|irascibile|思いがけない|irascible
irk|ক্লান্ত করে তোলা|ضايق|忿怒|contrarier|ärgern|सताना|infastidire|イルク|fastidiar
irresolute|অস্থিরসঙ্কল্প|متردد|徊|irrésolu|unentschlossen|डगमग|irresoluto|無制限|irresoluto
jargon|অপভাষা|المصطلحات|行话|jargon|Jargon|शब्दजाल|gergo|専門用語|jerga
jocular|হাস্যজনক|مزوح|诙谐|enjoué|scherzhaft|रसिक|scherzoso|顎の|jocoso
junta|স্পেইনের রাষ্ট্র্রপরিষৎ|طغمة|军政府|junte|Junta|जून्टा|giunta|ジュンタ|junta
laborious|শ্রমসাধ্য|مرهق|费力的|laborieux|mühsam|व्यवसायी|laborioso|面倒な|laborioso
leery|ধূর্ত|حذر|持怀疑态度|méfiant|misstrauisch|चालाक|astuto|リリー|sospechoso
lethargic|অলস|كسول|昏睡的|léthargique|träge|सुस्त|letargico|無気力|letárgico
lucid|স্বচ্ছ|واضح|清醒|lucide|klar|स्पष्ट अर्थ का|lucido|明快な|lúcido
macabre|করাল|مروع|可怕|macabre|makaber|भयंकर|macabro|恐ろしい|macabro
malady|রোগ|مرض|弊病|maladie|Krankheit|रोग|malattia|病気|enfermedad
malevolent|হিংসক|حاقد|坏心肠的|malveillant|böswillig|द्रोही|malevolo|悪質な|malévolo
malleable|নমনীয়|طيع|可锻铸|malléable|formbar|लचीला|malleabile|可鍛性の|maleable
malleable|নমনীয়|طيع|可锻铸|malléable|formbar|लचीला|malleabile|可鍛性の|maleable
malodorous|দুর্গন্ধযুক্ত|كريه الرائحة|恶臭|malodorant|übelriechend|बदबूदार|maleodorante|悪臭の|maloliente
martial|সামরিক|عسكري|武|martial|martialisch|सामरिक|marziale|武道|marcial
maxim|বচন|حكمة|格言|maxime|Maxime|कहावत|massima|マキシム|máxima
meander|বিসর্প|تسكع|蜿蜒|méandre|Mäander|भूल भुलैया|meandro|蛇行する|meandro
melancholy|মনমরা|حزن|愁绪|mélancolie|Melancholie|उदासी|malinconia|憂鬱|melancolía
melee|দাঙ্গা|شجار|乱斗|mêlée|Nahkampf|हाथापाई|mischia|近接|pelea confusa
mesmerize|মোহিত করা|فتن|催眠|hypnotiser|hypnotisieren|सम्मोहित|ipnotizzare|魅了する|hipnotizar
misanthrope|মনুষ্যদ্বেষী|عدو الإنسان|愤世嫉俗者|misanthrope|Menschenfeind|मानवद्वेषी|misantropo|不義|misántropo
miscreant|দুর্বৃত্ত|وغد|恶棍|scélérat|Bösewicht|बदमाश|furfante|邪悪な|sinvergüenza
miser|কৃপণ|البخيل|吝啬鬼|avare|Geizhals|कंजूस|avaro|守銭奴|avaro
misogynist|স্ত্রীদ্বেষী|الكاره للنساء|厌恶|misogyne|Frauenfeind|स्री जाति से द्वेष करनेवाला|misogino|異端者|misógino
moment|মুহূর্ত|لحظة|时刻|moment|Moment|पल|momento|瞬間|momento
moot|তর্ক করা|متنازع فيه|没有实际意义|discutable|strittig|विवादास्पद|discutibile|偽|discutible
morose|বিশুষ্ক|كالح|忧郁|morose|mürrisch|उदास|imbronciato|怒る|malhumorado
morph|রূপান্তর|يتحول|变形|morph|morphen|morph|morph|モーフ|transformarse
muted|নিঃশব্দ|صامتة|静音|en sourdine|gedämpft|मौन|smorzato|ミュートされた|apagado
obdurate|একগুঁয়ে|عنيد|顽固|inflexible|verstockt|हठी|ostinato|落ち着いた|obstinado
obliging|উপকারেচ্ছু|ظريف|随和|obligeant|verbindlich|ऋणी|compiacente|義務づける|servicial
obstinate|একগুঁয়ে|عنيد|顽固|obstiné|hartnäckig|जिद्दी|ostinato|頑固な|obstinado
ornate|অলঙ্কৃত|مزخرف|华丽的|orné|aufwendig|सरूप|ornato|華やかな|florido
paradoxical|আপার্তবৈপরীত|متناقض|自相矛盾|paradoxal|paradox|असत्यवत|paradossale|逆説的な|paradójico
pastoral|যাজকসংক্রান্ত|رعوي|牧歌|pastorale|pastoral|देहाती|pastorale|パストラル|pastoral
patronize|পিঠ চাপড়ান|عاضد|宠幸|fréquenter|bevormunden|सहायता देना|patrocinare|ひいきにする|patrocinar
paucity|অনটন|ندرة|缺乏|manque|Mangel|कमी|scarsezza|不足|escasez
peevish|বদরাগী|نكد|易怒的|maussade|mürrisch|चिड़चिड़ा|stizzoso|卑しい|malhumorado
perennial|বহুবর্ষজীবী|الدائمة|多年生|vivace|Staude|चिरस्थायी|perenne|多年生|perenne
perpetuate|চিরস্থায়ী করা|تخليد|延续|perpétuer|verewigen|यादगार बनाना|perpetuare|永続する|perpetuar
perquisite|উপরিলাভ|بقشيش|额外补贴|perquis|perquisite|रिआयत|guadagno occasionale|特産品|gratificación
pertinent|প্রাসঙ্গিক|وثيقة الصلة|相关|pertinent|sachdienlich|उचित|pertinente|関連する|pertinente
perturb|বিহ্বল করা|شوش|干扰|perturber|stören|घबड़ा देना|perturbare|摂動|perturbar
peruse|পড়া|تصفح|细读|lire attentivement|lesen|सोचना|esaminare|熟読|examinar detenidamente
pine|সরলবৃক্ষ|صنوبر|松树|pin|Kiefer|देवदार|pino|パイン|pino
pinnacle|চূড়া|قمة|巅峰|sommet|Höhepunkt|शिखर|pinnacolo|頂点|pináculo
piquant|তীব্র|لاذع|调皮|piquant|pikant|सरस|piccante|印象派|picante
pithy|বলিষ্ঠ|مصقل|简练|concis|kernig|अर्थपूर्ण|conciso|哀れな|sustancial
pittance|সামান্য বেতন|مبلغ زهيد|微薄|salaire de misère|Hungerlohn|देन|miseria|ピッタンス|miseria
placid|প্রশান্ত|هادئ|波澜不惊|placide|ruhig|सौम्य|placido|穏やかな|plácido
plodding|শ্রমশীল|التثاقل|单调乏味的|marchant|trottend|परिश्रमी|plodding|プロッディング|laborioso
ploy|চাকরি|حيلة|策略|stratagème|Trick|चाल|stratagemma|賭け|táctica
powwow|কুহকী|ناقش|祈祷仪式|pow-wow|powwow|सलाह-मशविरा करना|stregone indiano|パウワウ|powwow
precarious|নিরাপত্তাহীন|خطورة|危险的|précaire|prekär|अनिश्चित|precario|不安定な|precario
precedent|নজির|سابقة|先例|précédent|Präzedenzfall|मिसाल|precedente|先例|precedente
preempt|preempt|استباق|抢占|devancer|Vorwegnahme|जगह ले लेना|precorrere|先制|adelantarse a
preemptive|স্বতপ্রণোদিত|استباقية|先发制人|préemptif|präventiv|रिक्तिपूर्व|preventivo|先制|con derecho preferente
presumption|অনুমান|افتراض|假定|présomption|Vermutung|अनुमान|presunzione|推定|presunción
presumption|অনুমান|افتراض|假定|présomption|Vermutung|अनुमान|presunzione|推定|presunción
presumptuous|কোন বেয়াদব|وقح|放肆|présomptueux|anmaßend|अभिमान|presuntuoso|予期せぬ|presuntuoso
prevail|বোঝান|ساد|战胜|prévaloir|herrschen|प्रबल|prevalere|優先する|prevalecer
prevail|বোঝান|ساد|战胜|prévaloir|herrschen|प्रबल|prevalere|優先する|prevalecer
pristine|আদিম|عزري|质朴|parfait|makellos|प्राचीन|incontaminato|原始的|prístino
pristine|আদিম|عزري|质朴|parfait|makellos|प्राचीन|incontaminato|原始的|prístino
profuse|প্রচুর|غزير|丰富的|abondant|reichlich|विपुल|profuso|大量の|profuso
profusion|প্রাচুর্য|وفرة|丰富|profusion|Fülle|प्रचुरता|profusione|豊か|profusión
proponent|প্রবক্তা|مؤيد|支持者|partisan|Befürworter|समर्थक|proponente|提唱者|proponente
provisional|কাঁচা|مؤقت|临时|provisoire|vorläufig|अनंतिम|provvisorio|仮|provisional
pugnacious|দ্বন্দ্বপ্রি়|مشاكس|好斗|pugnace|streitsüchtig|झगड़ालू|battagliero|醜い|belicoso
qualm|বিবেকের দংশন|وخز الضمير|疑虑|scrupule|Bedenken|ओकाई|nausea|クマ|escrúpulo
quandary|মুশকিল|مأزق|困惑|dilemme|Dilemma|व्याकुलता|imbarazzo|困惑|dilema
quip|পরিহাস|سخرية|讽刺|quolibet|witzeln|ताना|frizzo|口笛|sofismo
raffish|উচ্ছৃঙ্খল|سافل|粗俗|libertin|verloben|बदचलन|cafone|ラフィッシュ|disoluto
raft|ভেলা|طوف|筏|radeau|Floß|बेड़ा|zattera|ラフト|balsa
rakish|লম্পট্যপূর্ণ|فارع|俏皮的|élancé|schlau|शोहदे जैसा|libertino|卑劣な|libertino
rankle|যন্ত্রণাদায়কভাবে পাকান|فور ملهبا|溃烂|se plaindre|rangeln|पकना|far soffrire|ランク|amargar la vida
rash|ফুসকুড়ি|طفح جلدي|皮疹|téméraire|Ausschlag|लाल चकत्ते|eruzione cutanea|発疹|erupción
redress|প্রতিকার|إصلاح|纠正|redresser|Wiedergutmachung|प्रतिकार|risarcimento|救済|compensación
relegate|নির্বাসিত করা|نزل الى الدرجة الثانية|贬谪|reléguer|verweisen|बाहर निकाल देना|relegare|降格|relegar
remiss|শিথিল|غير مهتم|失职|négligent|nachlässig|बेपरवाह|negligente|放棄|descuidado
renege|পরিত্যাগ করা|تراجع|食言|renoncer|Renegieren|इनकार|venire meno a|再編成|no cumplir
replete|পরিপূর্ণ|مفعم|充满|rempli|satt|परिपूर्ण|pieno|充実した|repleto
reprobate|দুশ্চরিত্র|شرير|堕落的|réprouver|verwerfen|बदमाश|riprovare|追い払う|reprobar
reservation|সংরক্ষণ|حجز|保留|réservation|Reservierung|आरक्षण|prenotazione|予約|reserva
resignation|পদত্যাগ|استقالة|辞职|démission|Rücktritt|इस्तीफा|dimissioni|辞任|resignación
resolve|সমাধান|حل|解决|résoudre|Entschlossenheit|संकल्प|risolvere|解決する|resolver
respite|অবকাশ|تأجيل|喘息|répit|Aufschub|मोहलत|tregua|猶予|respiro
retiring|অবসর|تقاعده|退休的|sortant|in Rente gehen|अवकाश ग्रहण करने वाले|uscente|退職する|saliente
retract|প্রত্যাহার করা|تراجع|撤回|se rétracter|einfahren|वापस लेना|ritrattare|収縮する|retraer
rile|জল ঘোলা করা|غيظ|激怒|agacer|ärgern|चिढ़ाना|irritare|リール|sacar de quicio
robust|শক্তসমর্থ|قوي|强大的|robuste|robust|मजबूत|robusto|ロバストな|robusto
sanctimonious|ধর্মধ্বজী|مدعي التهذيب|道貌岸然|moralisateur|scheinheilig|पाखंडी|bigotto|聖なる|mojigato
sanguine|অরূণ|متفائل|乐观|sanguine|sanguinisch|आशावादी|sanguigno|楽しい|optimista
savvy|কাণ্ডজ্ঞান|ذكاء|精明|averti|kapieren|सामान्य बुद्धि|esperto|精通した|comprensión
savvy|কাণ্ডজ্ঞান|ذكاء|精明|averti|kapieren|सामान्य बुद्धि|esperto|精通した|comprensión
savvy|কাণ্ডজ্ঞান|ذكاء|精明|averti|kapieren|सामान्य बुद्धि|esperto|精通した|comprensión
scintillating|কাটল|متألقا|闪烁|scintillant|schillernd|जुटाकर|scintillante|シンチレーション|brillante
screed|ক্লান্তিকর বক্তৃতা|خطبة طويلة|熨平板|chape|Estrich|भूमि का टुकड़ा|massetto|スクリード|maestra
sentimental|ভাবপ্রবণ|عاطفي|感伤|sentimental|sentimental|भावुक|sentimentale|センチメンタル|sentimental
serendipity|লাভজনক|الصدفة|意外发现|sérendipité|Serendipität|नसीब|Serendipity|意外な|serendipia
serene|নির্মেঘ|هادئ|安详|serein|heiter|निर्मल|sereno|穏やかな|sereno
slapdash|বেপরোয়া ত্ত হঠকারী|بتسرع|草率|slapdash|schludrig|किसी न किसी तरह|raffazzonato|スラップダッシュ|despreocupado
smattering|পল্লবগ্রাহী|معرفة سطحية|一知半解|poignée|schmatzend|गिरोह|infarinatura|片言|noción
smug|ফিটফাট|معتد بنفسه|踌躇满志|suffisant|selbstgefällig|आत्मसंतुष्ट|compiaciuto|酔っぱらい|presumido
snide|বিদ্রুপপূর্ণ|وضيع|卑鄙|sarcastique|abfällig|जाली|maligno|殺す|sarcástico
snub|তিরস্কার|أفطس|冷落|snober|Brüskierung|अपमान|affronto|スナブ|desaire
sordid|নোংরা|دنيء|污秽|sordide|schmutzig|घिनौना|sordido|ソーダイド|sórdido
spendthrift|ডোকলা|مبذر|败家子|dépensier|Verschwender|उड़ाऊ|spendaccione|浪費|derrochador
spurn|লাথি মারা|صد|拒斥|rejeter|verschmähen|तिरस्कार|respingere|捨てる|rechazar
squander|ফুঁকা|بدد|浪费|gaspiller|verschwenden|गंवाना|sperperare|浪費|malgastar
staid|অটল|رزين|稳重|obstiné|staid|शांत|compassato|落ち着いた|serio
start|শুরু|بداية|开始|début|Start|शुरु|inizio|開始|comienzo
steadfast|অপলক|ثابت|坚定|ferme|standhaft|दृढ़|costante|不動の|firme
stem|ডাঁটা|إيقاف|干|tige|Stengel|तना|stelo|幹|vástago
stipend|বৃত্তি|راتب|助学金|traitement|Stipendium|वेतन|congrua|奨励|estipendio
stolid|অবিচলিত|عديم الاحساس|感觉迟钝的|flegmatique|schwerfällig|आवेगहीन|stolido|堅い|flemático
stymie|কোণঠাসা করা|وضع حرج|阻碍|stymie|Stymie|गतिरोध|stymie|ストイミー|bloquear
summit|শিখর|قمة|首脑|sommet|Gipfel|शिखर सम्मेलन|vertice|サミット|cumbre
summit|শিখর|قمة|首脑|sommet|Gipfel|शिखर सम्मेलन|vertice|サミット|cumbre
surly|কর্কশকণ্ঠ|عابس|阴沉的|bourru|mürrisch|असभ्य|burbero|ひどい|hosco
tact|কৌশলের সূক্ষ্মতা|براعة|分寸感|tact|Takt|शिष्टाचार|tatto|タクト|tacto
tarnish|কলঙ্কিত করা|تلطخ|玷污|ternir|trüben|कलंकति करना|offuscare|変色する|deslustre
tawdry|চটকদারভাবে শোভিত|مبهرج|俗丽的东西|clinquant|schäbig|चमकी का|pacchiano|安っぽい|cursi
taxing|কর আরোপিত|شاق مرهق|征税|taxation|Besteuerung|चुंगी का|oneroso|課税する|agotador
telling|বলছেন|يقول|告诉|récit|erzählen|कह रही|raccontare|伝える|narración
telltale|যে ব্যক্তি পরের অন্যায় জানায়|واش|揭秘|témoin|verräterisch|भांजीमार|pettegolo|伝える|indicador
tender|কোমল|مناقصة|投标|soumissionner|zärtlich|निविदा|tenero|入札|oferta
thoroughgoing|পুঙ্খানুপুঙ্খ|مغالي|彻底|approfondi|gründlich|कट्टर|approfondita|徹底した|concienzudo
thrifty|মিতব্যয়ী|مقتصد|节俭|économe|sparsam|मितव्ययी|parsimonioso|倹約|ahorrativo
thwart|অনুপ্রস্থ|إحباط|阻挠|contrecarrer|vereiteln|विफल|contrastare|邪魔する|frustrar
tirade|সুদীর্ঘ বক্তৃতা|خطبة مسهبة عنيفة|长篇大论|tirade|Tirade|टाइरैड|filippica|長広舌|diatriba
tout|দালাল|بائع متجول|兜售|tout|Schlepper|टाउट|tout|誘惑する|revendedor
transitory|নশ্বর|عابر|短暂的|transitoire|vorübergehend|क्षणसाथी|transitorio|一過性の|transitorio
travail|পরিশ্রম|مخاض|阵痛|travail|travail|दु: ख उठाकर|doglie del parto|苦しむ|dolores del parto
tribulation|হতাশা উদ্রেককারী ঘটনায় ধীর|محنة|苦难|tribulations|Drangsal|क्लेश|tribolazione|試練|tribulación
tumult|দাঙ্গা|شغب|骚动|tumulte|Tumult|कोलाहल|tumulto|騒乱|tumulto
uncanny|ভুতুড়ে|خارق للطبيعة|神秘的|étrange|unheimlich|अलौकिक|sconcertante|凄い|misterioso
uncompromising|অদম্য|عنيد|坚定的|intransigeant|kompromisslos|सीधा|intransigente|妥協のない|intransigente
unconscionable|অযৌক্তিক|غير معقول|过度的|déraisonnable|skrupellos|बेशरम|eccessivo|不経済な|excesivo
underwrite|স্বাক্ষর করা|الاكتتاب|包销|souscrire|unterschreiben|बीमा कराना|sottoscrivere|引き受ける|suscribir
unnerve|সাহসশূন্য বলশূন্য করা|فقد ثقته بنفسه|失去勇气|déconcerter|entnerven|शांत लेना|snervare|勇気を失う|enervar
unprecedented|অভূতপূর্ব|غير مسبوق|史无前例|sans précédent|beispiellos|अभूतपूर्व|inaudito|前例のない|sin precedentes
unruly|অবশ|جامح|不羁|indiscipliné|widerspenstig|अनियंत्रित|indisciplinato|手が出ない|revoltoso
unseemly|অনুচিত|غير لائق|不体面|inconvenant|ungehörig|गंदा|sconveniente|不条理な|impropio
urbane|শহরস্থ|مؤدب|彬彬有礼|urbain|urban|शिष्ट|cortese|都市|urbano
vacuous|শূন্য|فارغ|空虚的|vide|leer|असार|vacuo|空いている|vacío
vanquish|পটকান|قهر|征服|vaincre|besiegen|जीतना|vincere|征服する|vencer a
variance|অনৈক্য|التباين|方差|variance|Varianz|झगड़ा|varianza|分散|diferencia
veneer|পাতলা তক্তার আবরণ|القشرة|单板|vernis|Furnier|पोशिश|impiallacciatura|ベニヤ|chapa
vicarious|প্রতিনিধি কাজ করে এমন|غير مباشر|替代|vicaire|stellvertretend|प्रतिनिधिक|vicario|代理人|vicario
vie|প্রতিযোগিতা করা|تنافس|争夺|rivaliser|wetteifern|होड़ करना|gareggiare|争う|rivalizar
vindictive|প্রতিহিংসাপরায়ণ|انتقامي|斗气|vindicatif|rachsüchtig|प्रतिशोधी|vendicativo|悪意のある|vengativo
virago|রায়বাঘিনী|إمرأة سليطة|泼妇|virago|Virago|virago|megera|ヴィラゴ|virago
voracious|খাইয়ে|شره|贪心|vorace|gefräßig|पेटू|vorace|貪欲な|voraz
wanton|অসচ্চরিত্র|وحشي|放肆|capricieux|mutwillig|प्रचंड|lascivo|無慈悲な|sin sentido
wax|মোম|الشمع|蜡|la cire|Wachs|मोम|cera|ワックス|cera
whimsical|অদ্ভুত|غريب الأطوار|怪诞的|capricieux|wunderlich|सनकी|capriccioso|気まぐれな|caprichoso
zenith|সুবিন্দু|ذروة|顶点|zénith|Zenit|शीर्षबिंदु|zenit|天頂|cenit
abjure|শপথপূর্বক পরিত্যাগ করা|تنكر|公开放弃|abjurer|abschwören|त्यागना|abiurare|アブジャレ|abjurar de
abrogate|উচ্ছেদ করা|فسخ|废除|abroger|aufheben|अभिनिषेध करना|abrogare|廃止する|abrogar
adjudicate|ন্যায়নির্ণয় করা|فصل|裁定|juger|entscheiden|निर्णय करना|giudicare|裁定する|juzgar
afford|সামর্থ্য|تحمل|给予|offrir|sich leisten|बर्दाश्त|permettersi|余裕|permitirse
alacrity|ব্যগ্রতা|مبتهج|敏捷|empressement|Bereitwilligkeit|तत्परता|alacrità|空白|prontitud
anachronism|কালবৈষম্য|مفارقة تأريخية|不合时宜|anachronisme|Anachronismus|कालभ्रम|anacronismo|時代錯誤|anacronismo
anathema|অভিশাপ|لعنة|诅咒|anathème|Anathema|अभिशाप|anatema|嫌悪|anatema
anemic|রক্তহীন|مصاب بفقر الدم|贫血的|anémique|anämisch|रक्तहीनता से पीड़ित|anemico|貧血|anémico
anodyne|বেদনানাশক|مسكن|止痛药|calmant|unordentlich|पीड़ा-नाशक|anodino|アノード|anodino
anodyne|বেদনানাশক|مسكن|止痛药|calmant|unordentlich|पीड़ा-नाशक|anodino|アノード|anodino
antic|অদ্ভুতদর্শন|سلوك غريب|滑稽|antique|antik|विलक्षण|grottesco|アンティーク|grotesco
aplomb|আত্মবিশ্বাস|ثقة بالنفس|沉着|aplomb|Gelassenheit|अभिमान|aplomb|腹を立てる|aplomo
apogee|অপভূ|أوج|远地点|apogée|Höhepunkt|पराकाष्ठा|apogeo|アポジ|apogeo
apostate|ধর্মত্যাগী|مرتد|变节者|apostat|Apostat|स्वधर्मत्यागी|apostata|背教者|apóstata
apothegm|apothegm|apothegm|格言|apothegm|apothegm|apothegm|apothegm|アポジアム|apotegma
apotheosis|নাটকের শেষ|تأليه|神化|apothéose|Apotheose|गुणगान|apoteosi|神話|apoteosis
approbatory|অনুমোদনাত্মক|approbatory|认可的|approbatoire|approbatorisch|पाशंससूचक|approbatory|近所|aprobatorio
appropriate|যথাযথ|مناسب|适当|approprié|angemessen|उपयुक्त|adeguata|適切な|apropiado
appropriate|যথাযথ|مناسب|适当|approprié|angemessen|उपयुक्त|adeguata|適切な|apropiado
appurtenant|আনুষঙ্গিক|المنخفضة التابعة لها|从属的|attaché|zugehörig|लगाव|pertinenziali|付随する|anexo
arch|খিলান|قوس|拱|cambre|Bogen|मेहराब|arco|アーチ|arco
arrant|আকাট|بكل ما في الكلمة من معنى|彻头彻尾|fieffé|Arrant|कुख्यात|arrant|アレンジ|redomado
arriviste|arriviste|arriviste|暴发户|arriviste|arriviste|arriviste|arriviste|到着|arribista
arrogate|গর্ব প্রকাশ করা|انتحل|擅取|arroger|anmaßend|हथियाना|arrogarsi|代理人|apropiarse
artifice|কারচুপি|حيلة|技巧|artifice|Kunstgriff|युक्ति|artificio|工芸品|artificio
artless|আলাভোলা|ساذج|朴实的|naïf|kunstlos|अनाड़ी|ingenuo|無愛想な|simple
artlessness|artlessness|العفوية|笨拙|naïveté|Kunstlosigkeit|अकृत्रिमता|ingenuità|素朴|naturalidad
asperity|কাটব্য|قسوة|粗糙|aspérité|Rauheit|तीक्ष्णता|asperità|アスペリティ|aspereza
assiduously|এভাবেই|بدأب|刻苦钻研|assidûment|gewissenhaft|परिश्रम से|assiduamente|念入りに|asiduamente
atavism|অধিসঁচার|التأسل الرجعي|返祖现象|atavisme|Atavismus|विरासत|atavismo|アトビズム|atavismo
attenuate|কৃশ|هزل|衰减|atténuer|abschwächen|दुर्बल होना|attenuare|減衰|atenuar
autocratic|স্বৈরাচারী|استبدادي|专制|autocratique|autokratisch|निरंकुश|autocratico|独裁的な|autocrático
autocratic|স্বৈরাচারী|استبدادي|专制|autocratique|autokratisch|निरंकुश|autocratico|独裁的な|autocrático
baleful|বিপর্যয়কর|مؤذ|恶意|funeste|unheilvoll|हानिकारक|funesto|素朴な|funesto
base|ভিত্তি|قاعدة|基础|base|Base|आधार|base|ベース|base
bastardization|bastardization|الإفساد|私生子|bastardisation|Bastardisierung|bastardization|imbastardimento|虐待|bastardización
beg|প্রার্থনা করা|إفترض جدلا|求|mendier|bitten|निवेदन करना|elemosinare|請う|mendigar
bemoan|বিলাপ করা|تحسر على|哀叹|déplorer|beklagen|रोना|lamentarsi|嘆く|lamentar
benighted|রাত্রিগ্রস্ত|جاهل|赶路到天黑的|aveugle|beneidet|अनाड़ी|ottenebrato|未満の|ignorante
bereft|প্রি়জন-নিয়োগবিধুর|ثكل|丧失|privé|beraubt|दीवाना|privo|ベレフト|privado
